ID,date,lights,t1,rh_1,t2,rh_2,t3,rh_3,t4,rh_4,t5,rh_5,t6,rh_6,t7,rh_7,t8,rh_8,t9,rh_9,t_out,press_mm_hg,rh_out,windspeed,visibility,tdewpoint,rv1,rv2,appliances
14547,4/21/16 17:30,0,23,35.89333333,23,32.96333333,23.13333333,35.56,22.89,34.112,21,38.32,19.89333333,1,22.39,29.76714286,22.456,38.46,20.2,36.16333333,18.35,759.85,41,4,34.5,4.65,41.19414511,41.19414511,5.736572297
10205,3/22/16 13:50,0,22.26,37.2,22.39,35.4,22.1,36.43333333,22,35.4,19,46,12.76333333,15.69,19.7,33.09,22.56666667,37.5,19.79,39.9,11.98333333,756.9666667,56.66666667,3,40,3.516666667,39.28863745,39.28863745,4.248495242
2714,1/30/16 13:20,10,20,46.03,19.5,45.09,19.89,45.2,16.5,48.06,18.51111111,86.08611111,6.53,99.9,16.79,43.21444444,18.89,53.59444444,16.39,48.2,6.666666667,752.5333333,88.66666667,7.333333333,27.33333333,4.966666667,10.17174374,10.17174374,6.063785209
14957,4/24/16 13:50,0,21.7,36.5,19.89,38.4,22.76,34.2,21.7,34.312,20.5,47.06,6.633333333,51.12333333,21.7,31.29,23.29,36.79,20.5,36.79,3.683333333,757.7,89.66666667,1.5,40,2.083333333,20.30979897,20.30979897,3.912023005
17068,5/9/16 5:40,0,24.29,39.43333333,22.5,39.9,26,37.56,24.6,36.5,23.1,40.36,11.19,20.43,24.2,37.975,24,39.9,23.35,45.48,11.06666667,752.1666667,80.66666667,1.333333333,40,7.8,3.381296399,3.381296399,4.248495242
14736,4/23/16 1:00,0,22.5,39.09,20.13333333,40.26,25,36.56,22.35,35.42,20.89,55.13333333,7.366666667,52.72666667,21.5,32.65285714,23.5,46.36333333,20.5,39.73,7.8,757,87,5,27,5.8,35.41995824,35.41995824,3.912023005
15952,5/1/16 11:40,0,21.1,40.49,23.73,33.79,22.39,35,20.79,36.06,19.29,42.7,11.39,1,19.03333333,29.96,21.79,38.96333333,19.6,39.79,9.766666667,766,69.66666667,5,40,4.433333333,0.241603598,0.241603598,4.605170186
2760,1/30/16 21:00,0,22.2,45.16666667,21.6,43.06,21.2,46.02666667,19.92666667,41.66333333,18.99833333,52.26,1.566666667,95.69,16.89,38.565,20.745,46.82,16.29,43.76666667,2.9,754.3,87,4,29,1,12.38872879,12.38872879,4.700480366
18380,5/18/16 8:20,0,23.26,41.96666667,21.58,43.816,24.39,38.59,23.1,39.79,21.6,46.82,15.63333333,26.36666667,23.1,39.12666667,23.29,42.59,22.6,42.572,12.23333333,752.7,79.66666667,3.333333333,26,8.8,41.57593905,41.57593905,4.248495242
8299,3/9/16 8:10,0,19.42666667,38.15666667,16.2,42.9,20.2,37.32666667,18.39,35.96666667,17.5,46.66333333,3.863333333,59.32666667,18.39,34.86333333,19.7,41.93333333,17.6,40.4,3.983333333,745.9,71.33333333,8,40,-0.75,3.603524878,3.603524878,3.401197382
7834,3/6/16 2:40,0,19.29,37.7,17.1,39.96666667,20.1,37.46666667,17.7,37.2,18.2,55.2,3.4,76.62333333,18.29,32.2,20.79,42.53,18,40.09,3.4,744.8333333,93,5.666666667,40,2.333333333,7.32518736,7.32518736,3.401197382
16007,5/1/16 20:50,0,22.89,34.79,20.79,35.2,22.5,35.03,21.29,34.7,20.6,73.25666667,8.196666667,1.526666667,19.5,27.46,23.5,37.59,19.55,34.19,10.5,765.85,54.16666667,3,40,1.483333333,27.96140623,27.96140623,4.700480366
6325,2/24/16 15:10,0,20.79,38.12666667,19.7,37.96666667,20.7,38.79,20.26,36.59,18.06666667,48.43,6.526666667,87.09333333,20.06,31.35,21.56666667,39.65666667,18.39,41.29,6.4,756.9333333,57.5,2,40,-1.433333333,13.33580246,13.33580246,6.040254711
12741,4/9/16 4:30,0,21,40.82666667,18,45.09,23.1,39.79,20.32333333,38.4,20.22571429,47.28285714,3.163333333,53.75666667,21.39,37.79,23,42.26,20.39,43.09,4.15,751.75,92,2,22.5,2.95,13.07070603,13.07070603,3.912023005
3214,2/3/16 0:40,30,21.7,44.59,21.1,42.7,21.6,45.32666667,21.5,45.79,19.89,66.73944444,4.226666667,95.53,18.56111111,41.09,21.37333333,51.91666667,18.1,47.26,5.133333333,758.5,83,4.666666667,40,2.466666667,37.79832826,37.79832826,4.094344562
16792,5/7/16 7:40,0,23.39,38.56333333,21.93857143,39.19142857,24.7,38.12666667,23.39,36.9,21.1,46.86333333,15.72333333,17.79666667,22.7,34.2,23.5,42.9,21.89,43.59,14.33333333,752.1333333,60,1.666666667,40,6.6,24.37689924,24.37689924,5.886104031
8910,3/13/16 14:00,0,21.39,35.06666667,20.5,34.16333333,20.39,35.95,21,33.7,18,45.36333333,8.8,26.09666667,22.06666667,28.03333333,24.16666667,33.46333333,19.2,38.59,8.8,769.2,59,6,23,1.2,44.77051685,44.77051685,3.688879454
1833,1/24/16 10:30,30,18.56666667,45.26666667,17.92666667,44.16333333,19.29,44.12666667,18.445,44.145,15.45111111,52.03888889,6.59,99.9,15.6,41.65722222,17.89,52.79388889,15.55,48.54,6.5,767.95,96,5.5,51,5.9,40.81503728,40.81503728,5.192956851
7886,3/6/16 11:20,0,19.1,39,17.42666667,41.2,19.89,37.4,19.79333333,37.62666667,17.5,49.16333333,2.723333333,74.86666667,17.79,31.89,20.29,42.495,17.89,39.36333333,2.933333333,746.8,94.33333333,6,28,2.066666667,47.02319935,47.02319935,4.382026635
3658,2/6/16 2:40,0,21.745,45.645,21.2,43.9,22.5,45.22333333,19.82333333,47.32666667,18.7,56.11444444,9.1,87.42333333,18.6,43.09,20.72,55.60833333,18.82333333,50.12666667,9,755.8333333,85.66666667,4.333333333,40,6.733333333,7.833736239,7.833736239,3.912023005
13700,4/15/16 20:20,0,22.89,43.29,21.2,44.13333333,24.29,38.9,22.29,40.65722222,21.82333333,73.59,11.66666667,44.25666667,21.7,36.12666667,23.79,42.145,20.89,43.03,12.83333333,744.9333333,73,5,36.33333333,8.033333333,0.706869527,0.706869527,4.700480366
8037,3/7/16 12:30,0,20.35666667,43.6,19.1,40.59666667,21.96333333,41.99333333,18.2,35.5,17.5,50.5,4.866666667,75.8,17.6,31.1,19.7,38.12666667,17.5,37,3.65,748.85,78,4.5,40,0.1,49.08711772,49.08711772,5.438079309
1139,1/19/16 14:50,0,19.15,39.9,17.89,40.425,19,39.59,18.2,37.345,16.5,55.5,-0.311111111,94.11333333,18.88722222,32.145,19.54375,40.325625,16.79,38.29,1.383333333,757.2166667,58.83333333,1,26.16666667,-5.833333333,21.05921723,21.05921723,3.688879454
1604,1/22/16 20:20,0,17.89,40.5,16.82333333,41.03,18.1,39.9,15.8,40.16333333,15.89,48.29,3.7,99.5,16,35.4,17.29,43.29,15.5,40,3.7,761.3,97,6.666666667,44.33333333,3.2,42.0100197,42.0100197,3.912023005
10186,3/22/16 10:40,0,21.29,38.16333333,22.32333333,36.99,21.79,36.5,21.7,35.9,19,46.4,8.83,32.12333333,19.6,34.26,21.39,39.76,19.7,38.5,9.033333333,757.9,63.33333333,2,34.33333333,2.4,37.12144977,37.12144977,3.401197382
11901,4/3/16 8:30,0,20.79,43.5,19.42666667,45.79,21.7,40.2,19.6,43.02666667,19.2,46.7,12.46333333,65.1,19.92666667,39.06,21.2,44.5,20.09333333,43.19333333,12.05,752.15,90,4,23,10.5,31.81207775,31.81207775,3.912023005
14791,4/23/16 10:10,0,22.1,38.2,22.1,36.56,24,35.56,22.39,35.76,20.7,44.7,9.293333333,19.96333333,21.2,29.87,23.01428571,40.23714286,20.79,40.525,7.2,756.6,72,5.166666667,40,2.383333333,38.6251518,38.6251518,4.86753445
9279,3/16/16 3:30,0,20.89,40.9,17.7,46.9,20.79,38.2,20.76,35.79,18.6,47.4,3.5,68.99333333,20.5,30.2,22.39,42.09,19.5,39.2,4.45,764.4,88,4,57,2.65,14.31988216,14.31988216,3.401197382
7068,2/29/16 19:00,10,21.56666667,38.02666667,19.39,36.75,23.26333333,34.93333333,19.79,32.76,17.2,46.8,3.76,41.39666667,21.79,24.03333333,22.82333333,32.12666667,18.42666667,38.23,2.6,763.4,74,3,28,-1.7,18.37082588,18.37082588,4.700480366
14147,4/18/16 22:50,0,21.6,37.2,19.39,37.9,22.5,36.12666667,22.29,34.09,20.39,53.86,5.5,15.02666667,20.39,29.06,22.79,40.65666667,20.2,34.86,6.166666667,763.6333333,69.33333333,2,40,0.916666667,43.6327304,43.6327304,4.094344562
18043,5/16/16 0:10,0,23.2,39.29,20.89,40.7,25.58571429,37.63714286,23.6,36.5,23,44.03,8.3,48.46666667,23.39,32.9,26.08571429,39.53857143,22.7,39.44,8.466666667,761.4833333,97.16666667,1,39.83333333,8.083333333,22.83439423,22.83439423,4.248495242
12514,4/7/16 14:40,0,22.2,39.73,21.89,38.46666667,22.5,38.4,21.6,38.29,20.29,53.7,11.86428571,8.195714286,22.2,33.036,22.42666667,37.03,20.79,41.5,10.63333333,752.8,59,6.666666667,31.33333333,2.8,11.88131049,11.88131049,3.912023005
653,1/16/16 5:50,0,21.6,39.9,20.7,39.56,20.56666667,42,19.5,42.9,19.06666667,50.83333333,-0.2,94.9,18.66666667,41.79,19.85666667,49,17.89,47.29,0.516666667,762.35,96,3,20,-0.083333333,19.61829426,19.61829426,3.401197382
19373,5/25/16 5:50,0,23.6,39.42666667,20.63333333,42.83,24.82333333,37.56666667,23.39,38.09666667,19.6,41.10857143,6.33,43.52666667,22.945,35.045,24.1,43.254,22.6,44.7,6.116666667,757.0333333,96.5,1,24.16666667,5.633333333,13.71118431,13.71118431,3.688879454
14151,4/18/16 23:30,0,21.5,37.2,19.16666667,38.43333333,22.5,36.29,22.2,34.09,20.29,52.56666667,5.745,17.59,20.39,29.31,22.56666667,41.15666667,20.2,35.93333333,6.2,763.7,72,2,40,1.5,40.157147,40.157147,4.094344562
19275,5/24/16 13:30,0,24.2,41.09,23.6,39.96666667,25.2,39.2,23.7,41.03,23.29,51.75142857,16.56666667,1,23.2,35.09,24.6,41.26428571,22.7,39.2,13.2,759.05,69.5,4.5,34.5,7.65,22.30500123,22.30500123,4.700480366
14546,4/21/16 17:20,0,23,35.16666667,23.03333333,32.82666667,23.2,35.5,22.89,34.05142857,21,38.2,20.22666667,1,22.456,29.5,22.32333333,38.32666667,20.2,36.09,18.4,759.8666667,39.66666667,4,36.33333333,4.2,4.061951488,4.061951488,5.438079309
3234,2/3/16 4:00,0,21.2,43.79,20.6,42.29,21.79,45.59,20.79,45.5,19.6,62.97111111,3.73,95.59,18.5,41.07,20.95111111,52.97777778,18.1,49.03,4.5,757.9,89,5,40,2.9,10.47489755,10.47489755,4.248495242
18823,5/21/16 10:10,0,23,50.36333333,24.89,44.4,25.26333333,46.93333333,23.6,47.29,22.5,50.59,22.4,5.53,22.89,43.9,23.29,50.86857143,23,47.4,17.58333333,756.2666667,75.33333333,5.166666667,30,13.13333333,33.41909426,33.41909426,5.828945618
3974,2/8/16 7:20,0,21,44.2,20.1,43.845,21.7,44.29,19.7,44.06,18.89,61.95,7.83,95.73,18.89,39.79,21.5,53.09,19.1,48.9,9.066666667,738.5333333,79,9.666666667,25.33333333,5.566666667,48.86017647,48.86017647,3.688879454
1113,1/19/16 10:30,0,18.6,40.5,17.2,40.96666667,19.03333333,39.79,17.89,38.09,16.7,56.82666667,-5.403888889,84.17444444,17.29,33.765,18.745,42.33277778,16.5,38.7,-3.05,757.35,86,1,63,-5.15,34.30654472,34.30654472,3.912023005
10947,3/27/16 17:30,0,22.79,36.12666667,21.29,36.46666667,22.89,37.5,20.7,38.4,20.16666667,46.03,11.99333333,30.63,21.89,31.93,24.03333333,36.59,20.32333333,39.79,12.2,750.05,55.5,9.5,40,3.4,33.62613189,33.62613189,4.382026635
930,1/18/16 4:00,0,20.7,40.59,19,40.4,20.23,40.23,20.06666667,38.06,18.6,60.7,-5.51,85.98833333,19.89,37.62666667,20.96333333,47.66333333,17.6,40.76,-4,761.4,86,3,27,-6.1,30.5008008,30.5008008,3.688879454
5140,2/16/16 9:40,0,19.7,38.09,17.63333333,39.73,21.73,38.83333333,18.92666667,35.26666667,18.2,42.86333333,-2.693333333,83.79666667,18.23,29.73,20.2,38.36333333,17.79,38.26,-0.566666667,772.2,96,1,61,-1.133333333,21.11983757,21.11983757,5.010635294
373,1/14/16 7:10,20,18.39,42.86333333,17.79,41.96666667,19.76,43.36333333,18,42.59,17.29,61.73333333,3.79,88.62333333,18,43.65666667,18.82333333,50.73,16.79,48.46666667,3.95,749.4,89.5,8.833333333,26.66666667,2.416666667,11.52332071,11.52332071,5.886104031
2099,1/26/16 6:50,0,20.29,44.2,19.5,44.09,20.32333333,44.12666667,19.2,45.9,17.6,52.79,8.5,99.9,17.6,42.47777778,18.29,49.005,17.1,49.43333333,8.6,763.45,94,3,63.33333333,7.683333333,28.77880224,28.77880224,3.912023005
9246,3/15/16 22:00,30,21.5,41.26,19.1,45.03,21.1,39.5,20.5,36.26,18.96333333,47.09,6.33,51.66666667,20.79,29,23.35666667,37.96,19.66666667,38,6,764.5,84,4,62,3.4,35.62345261,35.62345261,4.49980967
4693,2/13/16 7:10,0,20.2,38.29,18.26,39.66333333,21,40.2,18.7,39.09,18.7,59.37388889,2.163333333,87.59333333,19.1,34.7,22,45.29,18.6,43.09,1.516666667,738.5833333,88,2,30.66666667,-0.316666667,13.17906656,13.17906656,3.912023005
17843,5/14/16 14:50,0,25.13333333,32.35666667,24.256,29.634,24.6975,33.475,24.236,29.436,23.79,41.47142857,13.63,1,24.7,28.29,26.33285714,35.44285714,23.29,31.86142857,12.1,757.65,47.33333333,7.833333333,38,1.083333333,11.77361783,11.77361783,4.86753445
2973,2/1/16 8:30,10,21,48.33333333,20.1,47.59,21.46333333,46.63333333,20.32333333,48.82666667,19.1,54.09,10.8,94.56,19.05,49.89,20.58333333,54.86555556,17.7,52.79,10.8,759.55,85,8,22.5,8.35,39.20696313,39.20696313,3.688879454
5478,2/18/16 18:00,0,19.89,34.62666667,18.53333333,35.2,19.73857143,35.88,18.5,34.59,17.29,42.7,3.76,65.26,17.6,29,19.95285714,36.85285714,17.5,35.2,2.4,756.4,86,2,22,0.2,13.70064563,13.70064563,4.382026635
1275,1/20/16 13:30,0,17.89,35.7,16.7,36.7,18.2,37.4,16.7,35.96666667,16.6,54.99888889,1.795,96.7,16.39,30.79555556,19.51538462,40.7,15.8,37.13333333,-0.05,760.45,82,2,61.5,-2.75,33.83813527,33.83813527,4.248495242
17725,5/13/16 19:10,0,26.1,39.72666667,25.22666667,36.16,28.57142857,35.36571429,25.5,40.276,25.63333333,67.46666667,19.79333333,1,25.6,36.06,26.06,43.616,24,38.074,19.73333333,749.0166667,49.66666667,9,30.83333333,8.833333333,2.052456664,2.052456664,5.799092654
9172,3/15/16 9:40,10,20.6,37.12333333,18.32666667,41.76,20.89,33.65666667,19.96333333,32.29,18.96333333,41.96666667,2.566666667,57.22666667,20,26.2,21.2,35.2,19.6,37.96666667,2.333333333,766,83,1.333333333,62,-0.333333333,12.63623454,12.63623454,4.382026635
12259,4/5/16 20:10,10,23,42.59,20.85666667,44.56,25,38.36333333,21.5,41.29,21.39,60.33,9.63,25.13333333,21.92666667,33.79,24,37.62666667,20.79,39.09,11.41666667,752.6166667,67.83333333,3.833333333,40,5.683333333,24.45203307,24.45203307,4.49980967
12549,4/7/16 20:30,0,22.1,38.59,20.2,39.29,22.39,37.53,21.2,37.16333333,20.16666667,47.66333333,8.226666667,20.8,21.39,31.85666667,22.6,37.13333333,20.6,37.36,8.8,753.35,63,4,40,2,2.926828922,2.926828922,4.787491743
2132,1/26/16 12:20,0,19.89,45.5,19.2,45.09,20.39,44.29,19.1,46.6725,17.5,53,11.1,99.7,17.5,43.5,18.11111111,50,17.175,48.7,10.23333333,761.9666667,86.66666667,7.333333333,22.33333333,8.1,19.6979815,19.6979815,3.688879454
19662,5/27/16 6:00,10,23.79,45.13333333,22.2,45.86714286,26.66666667,40.5,24.35666667,42.23,22.39,55.59,13.3,41.8,24.2,45.12142857,24.2,50.06,22.79,46.9,13.3,755.5,89,2,46,11.5,22.32424731,22.32424731,3.912023005
17105,5/9/16 11:50,10,24.79,39.7,27.76,32.79,26.2,37.56,24.89,38.4,23.1,42.45,25.12,1,24,37,23.79,41.29,23.5,41,21.85,752.8,46.33333333,2.166666667,40,9.683333333,13.28161373,13.28161373,4.248495242
4309,2/10/16 15:10,0,20.6,42.43333333,19.89,40.7,21,40.82666667,19.23,41.15666667,18.89,48.585,6.69,93.59,19.79,38.345,22.07222222,45.69611111,19.2,43.5,5.966666667,742.95,87.16666667,4.833333333,40,3.933333333,13.16602047,13.16602047,4.787491743
41,1/11/16 23:50,20,21.39,44.43333333,20.79,43.79,20.23,45.65666667,20.7,46.79,19.2,50.66333333,5.59,87.89666667,17.7,43.62666667,19.39,50.96333333,16.89,45.62666667,5.4,736.8,91.16666667,6.166666667,25,4.05,32.35300969,32.35300969,3.688879454
18101,5/16/16 9:50,20,22.89,40.59,20.7,42.856,24.5,37.2,22.89,37.79,22.6,42.66333333,11.22666667,44.75666667,23.1,33.5,24.39,41.425,22.89,42.754,8.333333333,761.35,80.16666667,2,38.16666667,5.116666667,46.38645264,46.38645264,4.605170186
10476,3/24/16 11:00,20,21.2,39.7,18.85666667,43.2,22,38,21.29,38.5,19.29,47.7,9.86,40.63,20.2,35.59,21.85666667,41.26,19.46333333,39.63333333,7.8,756.9,72,3,24,3,11.95461001,11.95461001,4.248495242
8304,3/9/16 9:00,0,19.46333333,38.36333333,16.23,42.76,20.1,37.29,19.09666667,36.9,17.89,49.66666667,4.53,54.63333333,18.29,33.46333333,19.53333333,40.56666667,17.6,39.69333333,4.4,745.4,68,8,40,-1,36.16759019,36.16759019,5.298317367
13175,4/12/16 4:50,0,21.79,42.7,19.2,44.73,23.42666667,40.53,21.79,39.59,20.79,44.22571429,6.06,56.19333333,21.5,35.73,22.5,43.16857143,20.82333333,44.7,6.283333333,751.5666667,90.5,1.166666667,40,4.9,46.02434792,46.02434792,3.912023005
5309,2/17/16 13:50,0,20.6,34.79,19.29,34.4,20.1,37.59571429,19.6,33.79,17.79,44.7,2.826666667,69.5,19.5,26.63333333,21.26,33.93,18,38.195,3.266666667,758.6666667,67.5,1.166666667,24.33333333,-2.233333333,3.443427954,3.443427954,4.605170186
862,1/17/16 16:40,0,21.7,35.7,20.365,35.675,21.1,37,21,35.79,18,46.09,0.733333333,96.29666667,21.79,30.825,22.76,39.1,17.89,36.43,1.433333333,764.9666667,68.66666667,1.666666667,40,-3.833333333,34.59008097,34.59008097,4.382026635
6885,2/28/16 12:30,0,20.26,35.2,19.6,34.53,20.1,35.46666667,19.89,34,17.39,46.7,5.16,32.26,20.12,30.958,21.06666667,37.79,18.16666667,40.06,4.9,757.3,53.5,9,33,-3.85,39.03708864,39.03708864,3.912023005
4973,2/15/16 5:50,10,19.7,41.06,17.89,41.9,20.29,40.7,18.6,40.23,18.03333333,59.21388889,2.4,91.69,19.37333333,39.005,21.34,46.4,17.79,44.29,2.466666667,752.7166667,87.33333333,6.166666667,37.16666667,0.533333333,42.50964251,42.50964251,3.912023005
18226,5/17/16 6:40,0,22.79,39.76,20.39,42.5,24.11428571,36.88428571,22.6,38.345,19.456,43.054,8.514285714,48.65285714,23.5,37,23.7,40.22285714,22.7,41.554,8.233333333,758.7333333,95,2.666666667,43.66666667,7.533333333,46.02399768,46.02399768,4.382026635
7499,3/3/16 18:50,10,21.62222222,37.59444444,19.90375,37.45,20.79,37.5,20.7,34.94285714,17.89,45.2,5.095,59.477,19.82333333,29.08333333,22.29,37.32666667,18.6,41.09,4.683333333,750.0166667,77.83333333,2.833333333,40,1.133333333,15.57235913,15.57235913,4.382026635
5999,2/22/16 8:50,10,21.1,44.53,19.7,44.79,21.7,43.01,20.6,43.4,18.46333333,54.52666667,9.8,77.57857143,18.39,41.29,21.245,49.495,18.7,47.71,8.866666667,751.8,91.83333333,7.166666667,64,7.633333333,14.76332472,14.76332472,3.912023005
13960,4/17/16 15:40,20,22.79,37.79,21.39,37.12666667,22.7,37.12666667,22.29,36.46,20.7,47.995,9.63,14.12666667,21.7,28.18,23.06666667,36.52666667,21,39.79,9.5,756.4666667,71,6,40,4.433333333,2.1744219,2.1744219,4.605170186
6415,2/25/16 6:10,0,20.39,37.5,18.39,39.32666667,20.79,39.59,20.1,36.56,18.2,51.79,-1.323333333,81.36666667,19.5,37.42857143,21.13333333,43.09,18.1,41.36333333,-0.933333333,755.8166667,96,1.166666667,61.33333333,-1.533333333,20.51821357,20.51821357,3.688879454
12523,4/7/16 16:10,0,22.39,39.5,21.7,38.43333333,22.66666667,38.46666667,21.6,38,20.29,52.36333333,12.73333333,7.526666667,22.29,32.79,22.6,36.9,20.79,41.03,10.51666667,752.6666667,59.16666667,6,30.83333333,2.866666667,27.81063335,27.81063335,3.912023005
8138,3/8/16 5:20,0,19.82333333,38.03,17.39,40.9,21,37.3725,19.39,36.26,18.1,43.09,-0.3,78.43333333,18.39,36,20.1,45.03,17.5,39.4,-0.7,755.1666667,99.33333333,1,17,-0.766666667,14.79639576,14.79639576,3.688879454
566,1/15/16 15:20,0,21.82333333,38.29,21.48777778,37.48888889,20.73,39.93,20.18950617,40.66641975,19.37888889,43.64222222,5.263333333,71.26666667,17.79,36.29,18.29,42.59,17.5,44.22333333,3.566666667,755.6,88,7.666666667,33.66666667,1.7,12.07896111,12.07896111,4.094344562
9992,3/21/16 2:20,0,21.96333333,37.46666667,19,40.79,22.1,36.79,19.79,36.845,19.5,45.36333333,4.2,65.7,19.29,32.2,23.2,44.26666667,19.6,40,4.166666667,761.2333333,94,1.666666667,59.33333333,3.3,41.8319413,41.8319413,4.094344562
17528,5/12/16 10:20,0,24.85666667,47.96666667,24.7,46.09,26,43.812,25.26428571,44.85285714,23.89,51.7,19.26333333,34.65666667,24.7,42.7225,25.39,48.59,24,47.29,16.53333333,744.3333333,75.33333333,3,21.33333333,12.16666667,21.12413448,21.12413448,4.094344562
10275,3/23/16 1:30,0,22.39,38.79,19.66666667,42,22.23,37.82666667,21,37.09,20.5,43.56,6,65.4,20,37.3725,22.9725,42.79,19.76,40.36333333,5.5,756,94,2,62,4.55,5.740512221,5.740512221,4.094344562
12224,4/5/16 14:20,10,22.2,42.46666667,21,41.9,24.5,38.4,21.06666667,41.4,20.76,46.59,16.72666667,14.33,21.73,36.93,23.525,40.525,20.89,43.36333333,12.13333333,751.1,70.33333333,3.333333333,32.66666667,6.866666667,46.03220195,46.03220195,5.010635294
17059,5/9/16 4:10,0,24.29,38.29,22.7,38.2,26.35666667,38.29,24.63571429,36.2,23.29,39.29,13.296,8.916,24.26428571,38.56428571,24.2,39.86857143,23.31857143,45.38428571,14.3,751.9,62.83333333,2.833333333,40,7.216666667,4.77467617,4.77467617,4.094344562
14313,4/20/16 2:30,0,21.39,38.29,18.56666667,41.2,22.39,37.73,21.5,35.4,20.1,49.09,3.466666667,44.89666667,20.48428571,31.48428571,21.89,43.46666667,20,40.43333333,4.6,767.4,85.5,3.5,40,2.35,4.85980754,4.85980754,3.912023005
1305,1/20/16 18:30,0,17.46333333,37.72333333,16.63333333,37.73,17.79,37.2,16.2,36.46666667,16.1,51.58,0.975,96.5225,16.1,31.29,20.13333333,41.025,15.5,35.7,-0.05,760.7,91.5,2,49.5,-1.25,38.00351612,38.00351612,4.382026635
14975,4/24/16 16:50,0,22.1,36.2,20,37.66333333,22.7,34.5,21.6,34.09,20.5,44.86,5.2725,48.5475,22.1,29.87,23.76,36.09,20.5,37,5.766666667,757.3833333,76.83333333,6.166666667,40,1.933333333,30.60079722,30.60079722,4.605170186
13633,4/15/16 9:10,0,22.29,46.09,20.1,49.32666667,25.2,40.59,22.1,41.52363636,20.5,51.29,11.8,51.46,21.01428571,37.35285714,22.6,44.83714286,20.79,46,9.75,748.3,89.33333333,5.166666667,38.16666667,8.116666667,42.39952769,42.39952769,6.063785209
18919,5/22/16 2:10,0,24.64909091,50.10518182,24.17567568,48.10414414,26.92481818,44.33909091,23.95675676,47.28162162,22.88243243,52.87844595,21.77351351,25.93,23.83378378,44.29006757,24.48063636,51.73545455,23.19154545,48.80909091,17.76666667,750.5333333,77,2.833333333,40,13.65,6.960896612,6.960896612,3.912023005
13144,4/11/16 23:40,0,22.39,43.82666667,20.6,44.36333333,23.23,40.56666667,22.63333333,40.96333333,21,45.72571429,9.263333333,42.63333333,21.85666667,36.7,23.33285714,43,20.79,42.56,11.33333333,751.3666667,76.66666667,5.333333333,40,7.266666667,24.64532978,24.64532978,3.912023005
